iter	Accuracy	MultiClass
0	0.6413809524	1.176137058
1	0.7112142857	0.9243286941
2	0.7278571429	0.8190199336
3	0.7518095238	0.7293754093
4	0.7665952381	0.6703261138
5	0.779	0.6223570694
6	0.7861190476	0.5930908643
7	0.7963333333	0.562687101
8	0.8017857143	0.5395156854
9	0.8082142857	0.5218172274
10	0.8128333333	0.5044339852
11	0.8156190476	0.4969546992
12	0.8189047619	0.4889540318
13	0.8230238095	0.475516663
14	0.8255238095	0.4686290448
15	0.8288333333	0.4595105434
16	0.8317380952	0.4525178868
17	0.8330714286	0.4464928811
18	0.8369047619	0.4374691552
19	0.8400952381	0.4314821192
